sentence_id,token_id,word,left_edge,right_edge,tag,tag_equiv,depth,stem
58,2,people,5,11,NNS,NN,8,peopl
58,3,to,11,13,TO,TO,8,to
58,4,examine,13,20,VB,VB,6,examin
58,5,the,20,23,DT,DT,4,the
58,6,committee,23,32,NN,NN,4,committe
58,7,'s,32,34,POS,POS,4,'s
58,8,recommendations,34,49,NNS,NN,5,recommend
58,9,and,49,52,CC,CC,7,and
58,10,consider,52,60,VB,VB,6,consid
58,11,why,60,63,WRB,RB,4,why
58,12,we,63,65,PRP,WP,3,we
58,13,came,65,69,VBD,VB,3,came
58,14,to,69,71,TO,TO,2,to
58,15,those,71,76,DT,DT,1,those
58,16,determinations,76,90,NNS,NN,1,determin
58,17,.,90,91,.,.,11,.
59,0,They,0,4,PRP,WP,7,Thei
59,1,are,4,7,VBP,VB,7,ar
59,2,more,7,11,RBR,RB,6,more
59,3,conservative,11,23,JJ,JJ,6,conserv
59,4,than,23,27,IN,IN,5,than
59,5,the,27,30,DT,DT,3,the
59,6,recommendations,30,45,NNS,NN,3,recommend
59,7,of,45,47,IN,IN,3,of
59,8,the,47,50,DT,DT,1,the
59,9,Citizens,50,58,NNPS,NN,1,Citizen
59,10,',58,59,POS,POS,1,'
59,11,Assembly,59,67,NN,NN,2,Assembl
59,12,.,67,68,.,.,8,.
60,0,For,0,3,IN,IN,9,For
60,1,example,3,10,NN,NN,8,exampl
60,2,",",10,11,",",",",10,","
60,3,the,11,14,DT,DT,9,the
60,4,assembly,14,22,NN,NN,9,assembl
60,5,referred,22,30,VBD,VB,9,refer
60,6,to,30,32,TO,TO,8,to
60,7,a,32,33,DT,DT,7,a
60,8,22,33,35,CD,CD,7,22
60,9,week,35,39,NN,NN,7,week
60,10,gestational,39,50,JJ,JJ,8,gestat
60,11,period,50,56,NN,NN,8,period
60,12,whereas,56,63,IN,IN,8,wherea
60,13,we,63,65,PRP,WP,6,we
60,14,are,65,68,VBP,VB,6,ar
60,15,calling,68,75,VBG,VB,5,call
60,16,for,75,78,IN,IN,4,for
60,17,a,78,79,DT,DT,3,a
60,18,12,79,81,CD,CD,3,12
60,19,week,81,85,NN,NN,3,week
60,20,period,85,91,NN,NN,3,period
60,21,in,91,93,IN,IN,4,in
60,22,the,93,96,DT,DT,2,the
60,23,majority,96,104,NN,NN,2,major
60,24,of,104,106,IN,IN,2,of
60,25,cases,106,111,NNS,NN,1,case
60,26,.,111,112,.,.,10,.
61,0,It,0,2,PRP,WP,8,It
61,1,would,2,7,MD,MD,8,would
61,2,be,7,9,VB,VB,7,be
61,3,a,9,10,DT,DT,4,a
61,4,matter,10,16,NN,NN,4,matter
61,5,for,16,19,IN,IN,4,for
61,6,the,19,22,DT,DT,3,the
61,7,clinicians,22,32,NNS,NN,3,clinician
61,8,and,32,35,CC,CC,6,and
61,9,the,35,38,DT,DT,4,the
61,10,woman,38,43,NN,NN,4,woman
61,11,with,43,47,IN,IN,4,with
61,12,a,47,48,DT,DT,2,a
61,13,view,48,52,NN,NN,2,view
61,14,to,52,54,TO,TO,2,to
61,15,her,54,57,PRP$,WP,1,her
61,16,health,57,63,NN,NN,1,health
61,17,and,63,66,CC,CC,1,and
61,18,life,66,70,NN,NN,1,life
61,19,.,70,71,.,.,9,.
62,0,Many,0,4,JJ,JJ,9,Mani
62,1,people,4,10,NNS,NN,9,peopl
62,2,have,10,14,VBP,VB,9,have
62,3,stated,14,20,VBN,VB,8,state
62,4,their,20,25,PRP$,WP,7,their
62,5,desire,25,31,NN,NN,7,desir
62,6,to,31,33,TO,TO,5,to
62,7,address,33,40,VB,VB,4,address
62,8,the,40,43,DT,DT,2,the
62,9,issue,43,48,NN,NN,2,issu
62,10,of,48,50,IN,IN,2,of
62,11,fatal,50,55,JJ,JJ,1,fatal
62,12,foetal,55,61,JJ,JJ,1,foetal
62,13,abnormalities,61,74,NNS,NN,1,abnorm
62,14,.,74,75,.,.,10,.
63,0,I,0,1,PRP,WP,8,I
63,1,have,1,5,VBP,VB,8,have
